url,verified,username,timestamp,text,searchQuery,quotedTweet
https://x.com/hanmula/status/1931902280443515254,TRUE,@hanmula,2025-06-09 02:32:00+00:00,"kan yg ketemuan dr dating apps suka ngarep dibayarin makan, mending presiden harusnya kerja sama dg tinder+bumble, program makan siang gratis untuk anak dewasa",Program Makan Siang Gratis,"{'url': 'https://x.com/hanmula/status/1931893664697254202', 'avatar': '', 'username': '@hanmula', 'fullname': 'Aulia S.E., M.Pak., Tbk.', 'timestamp': '2025-06-09T01:58:00.000Z', 'text': 'Dating app ini plus minus sih\nBagusnya, chance ketemu org baru\n\nJeleknya:\nByk mokondo+momekdo\nByk yg entitled dibayarin ini itu, pgn free meal\nByk yg hoeflation, ngerasa dirinya nilai pdhl 6, makanya predator jd ikut ngakalin\nTp yg sampe merit dr dating apps sih byk bgt', 'links': []}"
https://x.com/naonreii/status/1932245963734929877,FALSE,@naonreii,2025-06-10 01:18:00+00:00,WOW AYCE🙀 eh ini aycenya bagian dari program makan siang gratis kah? Boleh ga kalau ga abis aku bungkus buat mama dirumah?,Program Makan Siang Gratis,
https://x.com/tham878/status/1932234972385169567,TRUE,@tham878,2025-06-10 00:34:00+00:00,"Maksud Mendikdasmen, Abdul Mu'ti itu lhoo buzzerRP Kdrun & Badrun yg nyerang Program Makan Siang Gratis😁😁😆",Program Makan Siang Gratis,
https://x.com/tham878/status/1932234922535886994,TRUE,@tham878,2025-06-10 00:34:00+00:00,"Maksud Mendikdasmen, Abdul Mu'ti itu lhoo buzzerRP Kdrun & Badrun yg nyerang Program Makan Siang Gratis😁😁😆",Program Makan Siang Gratis,"{'url': 'https://x.com/Chynthia_K/status/1932026279970341118', 'avatar': '', 'username': '@Chynthia_K', 'fullname': '𝙲𝚑𝚢𝚗𝚝𝚑𝚒𝚊', 'timestamp': '2025-06-09T10:45:00.000Z', 'text': '.\nBapak Lagi Ghibahin Siapa ?\n\nOrang yang saat ini sedang dirundung banyak masalah atau Siapa.\n\nJangan sampi publik menginterpretasikan ke yang disana. 😁\n.', 'links': []}"
https://x.com/kyuelt/status/1931993814274855257,TRUE,@kyuelt,2025-06-09 08:36:00+00:00,"gua jamin, ni program klo di jalanin kgk bakal efektif kyk program makan siang gratis upss",Program Makan Siang Gratis,"{'url': 'https://x.com/DS_yantie/status/1931696751783862274', 'avatar': '', 'username': '@DS_yantie', 'fullname': '🇮🇩 Yanti 🇮🇩', 'timestamp': '2025-06-08T12:56:00.000Z', 'text': 'Keadilan itu dimana?', 'links': [], 'images': ['https://pbs.twimg.com/media/Gs7D9WyaAAAxFhu.jpg']}"
https://x.com/slutf3ys/status/1931975587104722995,FALSE,@slutf3ys,2025-06-09 07:24:00+00:00,"di Indonesia tuh banyak bgt yang rela ngubur mimpi sedalam dalam nya, demi ekonomi. tapi kenapa pada program makan siang gratis dibanding pendidikan gratis?",Program Makan Siang Gratis,
https://x.com/Sunogchan/status/1931952155919048911,FALSE,@Sunogchan,2025-06-09 05:51:00+00:00,"Wkwkw boleh Kaia, eh kampus kita ga dapat program makan siang gratis?",Program Makan Siang Gratis,
https://x.com/SSPSH03/status/1931778687420280843,FALSE,@SSPSH03,2025-06-08 18:21:00+00:00,"Mm benar juga, sudahi promagnya. Kita ikutan program makan siang gratis aja biar enggak aslam.",Program Makan Siang Gratis,
https://x.com/pkj_puy/status/1931401888412688754,FALSE,@pkj_puy,2025-06-07 17:24:00+00:00,"daripada program makan siang gratis, mending bikin program satu rumah satu jiminhyuk",Program Makan Siang Gratis,
https://x.com/sukasukakw_17/status/1931344703443910869,FALSE,@sukasukakw_17,2025-06-07 13:37:00+00:00,"Alah sok²an mo ngasih rolex, program makan siang gratis aja banyak yg keracunan",Program Makan Siang Gratis,
https://x.com/diana_putrifeb/status/1931309413077500352,FALSE,@diana_putrifeb,2025-06-07 11:17:00+00:00,"kayaknya mending dipake buat nyicil hutang deh pak, kalo engga alihin buat program bapak yg makan siang gratis 😌",Program Makan Siang Gratis,
https://x.com/KMSG_RI/status/1913146700388323697,FALSE,@KMSG_RI,2025-04-18 08:24:00+00:00,Duit 20% dari APBN emang gurih 🤤 siapa yang ngga tergiur,APBN makan siang gratis,
https://x.com/KMSG_RI/status/1912514189031309508,FALSE,@KMSG_RI,2025-04-16 14:31:00+00:00,"Komunikasi ?
Bahahahahahahahahahhaha
IHSG Cepirit
MBG Morat marit
Rupiah terjepit
APBN DEFISIT
Bukan komunikasi yang buruk, semuanya emang buruk.",APBN makan siang gratis,
https://x.com/KMSG_RI/status/1912456894435963340,FALSE,@KMSG_RI,2025-04-16 10:43:00+00:00,"Bahahahah Program asbun, buat atasi stunting tapi caranya ngga tepat, ngabisin anggaran, susah di audit, eksekutif ngotot lanjut, legislatif ngamanin pantat muji2 program tol*l ini, kas negara seret, APBN defisit, danantara juga ngisap duit hasil Efisienshit.",APBN makan siang gratis,
https://x.com/sirulhaq/status/1910053826473926913,FALSE,@sirulhaq,2025-04-09 19:34:00+00:00,"Apa yang bisa dibanggakan @grok dari infrastruktur yang hanya jadi Beban APBN dan biang kerok tambah utang luar negeri Indonesia? 

Sementara makan siang gratis dan minum susu gratis juga pakai dana utang luar negeri @grok ? Sungguh malu yang tidak ketulungan. Macan ompong?",APBN makan siang gratis,
