cid,replyToCid,type,publishedTimeText,comment,author,authorIsChannelOwner,replyCount,voteCount,hasCreatorHeart,videoId,pageUrl,commentsCount,title
Ugz1_uTtUwGYaWDkV_h4AaABAg,,comment,2 weeks ago,"Bagaimana dengan Danatara nanti nya ,jangan sampai jadi project masa depan nich ,China begitu maju technologinya ,indonesia tambah maju korupsi nya.",@teddyiesmail1239,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
Ugz8vQq_WgbZbJ1Ah8V4AaABAg,,comment,2 weeks ago,Wowo Wiwi 11 12 Ternak Koruptor,@DewaBujana-e5f,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgxwPobkVgOLZwnBi-p4AaABAg,,comment,3 weeks ago,30:14 nice ini yng betul 🎉🎉🎉,@titinpapey5261,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgyeNRU2S-gblSVK64F4AaABAg,,comment,3 weeks ago,George Soros senang melihat media ini.,@boyjon2655,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
Ugx7xmqPwkuRaBrrpJF4AaABAg,,comment,3 weeks ago,"Ya Allah tunjukkanlah dan bukalah segala keburukan/kecurangan yang dilakukan oleh orang"" Dilingkaran proyek MBG... Engkau yang maha kuasa.. Apapun dapat terjadi atas kehendakmu. Amiin ya robbal'alamin",@sriharyati8525,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwlQ-oXCq2YGaCndk54AaABAg,,comment,3 weeks ago,Betul sekali bro ? 😩,@muktaraja5211,FALSE,0,0,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4tEz28Ue5,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"Bongkar dong soal koperasi, jangan2 zulkifli hasan mau nyawapres lewat program koperasi. PAN dan Gerindra kan pemenang Pilkada...",@Forum_Anak_Bangsa,FALSE,0,59,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4vbgtZQZV,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,Tuhan bersama Tempo. Lawan para iblis berwujud manusia.,@dfffdfhh,FALSE,0,32,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4xVL52kMp,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"di Kalimantan (khususnya kalimantan timur)belum pernah sekalipun ada program makan  siang gratis, padahal pemerintahan sudah mendekati 1tahun berjalan.",@charzy-qb3vg,FALSE,0,22,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
UgwPYdiPZH4DWAeyHFJ4AaABAg.AH4mQokYldBAH4xsJ-MH8n,UgwPYdiPZH4DWAeyHFJ4AaABAg,reply,1 month ago,"TEMPO + PDIP+MAFUD MD
kalau ada kebocoran / korupsi tidak fitnahan , Bongkar❤❤❤❤",@adrihastanto1037,FALSE,0,11,FALSE,a2WXt0aW76g,https://www.youtube.com/watch?v=a2WXt0aW76g,3896,Kroni Prabowo dalam Proyek Makan Bergizi Gratis (MBG) |  Bocor Alus Politik
