id,source_platform,username,timestamp,text,likes_count,url,reply_count,retweet_count,quote_count,language,location,verified,search_query,quoted_tweet,is_channel_owner,has_creator_heart,video_id,video_title,liked_by_author,pinned_by_author,user_id,mentions
7493889308227699712,TikTok,ngajuanyan,2025-04-16T12:37:59.000Z,Program Prabowo paling Mustahil di jalankan. tp banyak yg percaya sewaktu Kampanye😂😂😂,5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6606268455460552704,[]
7493902477696549888,TikTok,incessuniq,2025-04-16T13:29:06.000Z,please hentikan program ini.ganti BLT siswa saja..kalo gak mau pilih pendidikan gratis,5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6564544033468694528,[]
7475876816906404864,TikTok,mas.noor_01,2025-02-26T23:40:48.000Z,"Assu_dahlah hentikan saja itu program ""MBG"" Pak Presiden..!!
Anak² Kami lebih m'butuhkan Pendidikan Gratis daripada makan siang gratis..",104.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,6.0,,,,,,,,,,,,False,0.0,6879758007400891392,[]
7475730518181495808,TikTok,sudrajatvangobras,2025-02-26T14:12:48.000Z,"kalo jujur, sebetulnya hampir semua seperti itu.... kadang kadang diliput anak anak takut menyampaikan apa adanya.... seolah olah disetting supaya melaporkan baik baik saja 🙏🙏🙏🙏",9.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7175893469742105600,[]
7476007800125375488,TikTok,_gtx135,2025-02-27T08:08:43.000Z,nasi siang gratis rasa ternak mulyono🗿,5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7004832713387541504,[]
7475983880508834816,TikTok,jeminginpm,2025-02-27T06:35:52.000Z,"hapus saja makan gratis.
ganti dengan sekolah gratis",7.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7252665563045544960,[]
7475742211763471360,TikTok,priskapriskapriskila,2025-02-26T14:58:02.000Z,program unggulan kebanggaan kaum 58,7.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6849290766397867008,[]
7475862140818605056,TikTok,taufikansori18,2025-02-26T22:44:11.000Z,"kembalikan ke orang tuanya untuk memberi makan siang, tugas negara memberikan pekerjaan kpd orang tuanya",9.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7284212691387466752,[]
7475664164657873920,TikTok,andikamalinmudo,2025-02-26T09:55:49.000Z,ini kalau ga bnr2 dipantau bukan memberi gizi malah membunuh secara perlahan jadinya,18.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7330240457585050624,[]
7475989398665462784,TikTok,userikhsan_88,2025-02-27T06:57:22.000Z,ganti sama pendidikan gratis....👍👍👍,5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7200324135812252672,[]
7475719107154265088,TikTok,arie_pamaraya,2025-02-26T13:28:24.000Z,salah prabowo dan jokowi,6.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7109805093972853760,[]
7475988422609699840,TikTok,handicemonk,2025-02-27T06:53:36.000Z,Kalo di keritik Di bilangan anak abah😂🤣😂🤣😂🤣,5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6957221478531482624,[]
7475992182286189568,TikTok,reskyananda001,2025-02-27T07:08:35.000Z,"ini adalah fakta lapangan,makanan bergizi tapi tidak sesuai.
kenapa masih ada yg bilang untuk menjatuhkan program presiden.
kritik itu untuk membangun, kenapa tidak suka.",6.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6959447754227041280,[]
7476000498702435328,TikTok,ombukansiapasiapa,2025-02-27T07:41:04.000Z,kalau gak diawasin bener bener yah jadi ladang korup.,6.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6565362534919553024,[]
7475705825001112576,TikTok,papapipa25,2025-02-26T12:36:49.000Z,"katanya bergizi, nyatanya bikin penyakit",8.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7316495964361131008,[]
7476028620709118976,TikTok,creatif805,2025-02-27T09:29:29.000Z,"mending sekolah gratis smpe SMA untk seluruh Indonesia,",5.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7166813533110535168,[]
7475693583531525120,TikTok,imeyhouuu0_0,2025-02-26T11:49:25.000Z,"banyak buzzer mulyono disini, cuman anak kecil itu gak pandai berbohong kayak buzzer",16.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,6973278651845248000,[]
7475655570730697728,TikTok,ayuuuuuu0506,2025-02-26T09:21:55.000Z,Stop Makan Gratis 😩😩😩 Jdikan Pendidikan Gratis 🔥🔥🔥,13.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7200717958502155264,[]
7475790012312372224,TikTok,nasirpadzil,2025-02-26T18:03:36.000Z,Di Malaysia makan gratis di sedia untuk anak2 di keluarga pendapatan Rm2500 sebulan atau Rupiah 9 juta ke bawah . Makanan di sediakan dikantin dengan 24 menu yg di luluskan oleh Kementerian kesihatan.,11.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7215572019264603136,[]
7475953453509608448,TikTok,the_bluezz,2025-02-27T04:37:50.000Z,hati hati dek nanti disuruh bersyukur😹,12.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,2.0,,,,,,,,,,,,False,0.0,6984443357167453184,[]
7475981817578112000,TikTok,budino142,2025-02-27T06:27:53.000Z,"ubur ubur ikan lele....
rakyat g butuh makan gratis le...",8.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,1.0,,,,,,,,,,,,False,0.0,7341617272597627904,[]
7475708594161255424,TikTok,user7653152901258,2025-02-26T12:47:40.000Z,"BPK PRABOWO YG TERHORMAT LIHAT INI PROGRAM YG BPK UNGGULKAN. MBG..,.GIMANA INI BOS !!!!",17.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,2.0,,,,,,,,,,,,False,0.0,6943492011022566400,[]
7495220536861099008,TikTok,user6sxjpr5z1h,2025-04-20T02:44:05.000Z,ora efektif blas...nguwak2 anggaran tok,7.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,1.0,,,,,,,,,,,,False,0.0,6683601928163312640,[]
7475720409498649600,TikTok,leejae_c,2025-02-26T13:33:42.000Z,"KASIH KERJAAN BAPAK NYA BIAR BAPAKNYA YG NGASIH MAKAN ANAK² NYA, ORANGTUANYA TAU PERSIS DAN GA MUNGKIN NGASIH MAKANAN BASI",6.0,https://www.tiktok.com/@bbcnewsindonesia/video/7475640912719252754,0.0,,,,,,,,,,,,False,0.0,7242463412474594304,[]
