conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1,91718E+18",Tue Apr 29 11:13:40 +0000 2025,0,Bukannya kalau memang target utk mencegah stunting tu pas masi pd bayi/balita/batita ya? Sependek pengetahuan gw begitu sih... kalau udah sekolah ya... dapet makan siang gratis sih enak cuma kayaknya terlalu muluk aja gitu... pengen nerapin begituan di seluruh indo.,"1,91718E+18",,loveliestata,in,Location Unknown,0,2,0,https://x.com/loveliestata/status/1917175446598549994,"9,01854E+17",loveliestata
"1,91718E+18",Tue Apr 29 11:13:34 +0000 2025,0,Inilah yang gue pengenin dulu pas magang di TAM mereka nyediain makan siang gratis untuk karyawan &amp; anak magang juga bisa makan di sana. Kalo bosen sm makanan kantin ya tinggal beli di luar.,"1,91718E+18",,,in,Location Unknown,0,1,0,https://x.com/loveliestata/status/1917175421864739307,"9,01854E+17",loveliestata
"1,91682E+18",Tue Apr 29 10:34:54 +0000 2025,0,@univ_tertutup Meloloskan proker makan siang gratis mie ayam agar mahasiswa tidak hobi loncat tiap jadi backburner @jeendra @salibselatan @HeartistJUYEON,"1,91717E+18",,univ_tertutup,in,1999,1,0,0,https://x.com/maincagak/status/1917165691826053156,"7,48423E+17",maincagak
"1,91714E+18",Tue Apr 29 09:35:37 +0000 2025,1,@id_mbgcore jadi pengen balik sekolah lagi biar dapet makan siang gratis,"1,91715E+18",,id_mbgcore,in,,0,0,0,https://x.com/Gheasas/status/1917150771818451116,"1,76752E+18",Gheasas
"1,91705E+18",Tue Apr 29 09:22:50 +0000 2025,0,@WongF3hung @denismalhotra @gibran_tweet @prabowo Gibran Rakabuming Raka telah mendampingi Prabowo Subianto dengan kontribusi seperti mendistribusikan makan siang gratis dan mengunjungi daerah bencana selama 100 hari pertama (20 Okt 2024 28 Jan 2025). Namun perannya kurang menonjol dibandingkan Prabowo yang mendapat kredit,"1,91715E+18",,WongF3hung,in,wherever you are,0,0,0,https://x.com/grok/status/1917147553935794552,"1,72067E+18",grok
"1,91714E+18",Tue Apr 29 09:01:46 +0000 2025,0,@eanthusial gdapet gratis makan siang kah,"1,91714E+18",,eanthusial,in,jkt,0,0,0,https://x.com/dndelionss/status/1917142251610014008,"1,09735E+18",dndelionss
"1,91709E+18",Tue Apr 29 08:32:56 +0000 2025,0,@hostis_pub Hndknya makan siang gratis ,"1,91713E+18",,hostis_pub,in,"kdng BJB, kdng BJM",0,0,0,https://x.com/yukiiiiiw/status/1917134994872668559,154124445,yukiiiiiw
"1,91713E+18",Tue Apr 29 08:16:52 +0000 2025,1,alhamdulillah dapet makan siang (atau sore?) gratis love you brok @Vanzyjy7 https://t.co/D79aXhla7Q,"1,91713E+18",https://pbs.twimg.com/media/GpsEbazb0AAPI-0.jpg,,in,,0,1,0,https://x.com/eltysia/status/1917130954851946622,"1,47642E+18",eltysia
"1,91712E+18",Tue Apr 29 07:40:43 +0000 2025,39,Kalau begini asing gak bakalan ada yang belajar program makan siang gratis di Konoha. Mereka pilih belajar ke Jepang. https://t.co/9K0AabszVx,"1,91712E+18",https://pbs.twimg.com/media/Gpr8KyVbEAAafZY.jpg,,in,Indonesia,0,3,19,https://x.com/Jumianto_RK/status/1917121856794186134,"9,03307E+17",Jumianto_RK
"1,91704E+18",Tue Apr 29 02:31:36 +0000 2025,0,@cursedprgoy makan siang gratis,"1,91704E+18",,cursedprgoy,in,,0,0,0,https://x.com/kzuhaze/status/1917044062454206600,"1,42212E+18",kzuhaze
"1,91702E+18",Tue Apr 29 01:38:43 +0000 2025,0,@ARSIPAJA Solusinya makan siang gratis,"1,91703E+18",,ARSIPAJA,in,bekasi,0,0,0,https://x.com/IlhamAtsaris/status/1917030756519711025,315133850,IlhamAtsaris
"1,91701E+18",Tue Apr 29 00:33:48 +0000 2025,0,Selamat pagi untuk pacarku Jung Jaehyun jangan lupa sarapan ya sayang yang bukan Jaehyun gak usah sarapan nunggu makan siang gratis aja. https://t.co/YEJsMBboGk,"1,91701E+18",https://pbs.twimg.com/media/GpqadECbEAQoUrN.jpg,,in,,0,0,0,https://x.com/RYUQJlN/status/1917014419160326319,"1,50954E+18",RYUQJlN
"1,91701E+18",Tue Apr 29 00:30:22 +0000 2025,3,budget makan beracun gratis juga termasuk untuk bayar buzzerpnya contohnya #DukungMBG buzzerp tolol bapak lo kena pecat emak lo kesusahan beli telor lo cm dpt 2rebu perak per twit ama kuota inet maks 7 hari demi ngejar twit ama makan siang 10ribuan bwt adek lo yg msh SD,"1,91701E+18",,,in,Nowhere,0,0,0,https://x.com/jack_rubyjack/status/1917013556329124036,"8,41502E+17",jack_rubyjack
"1,91683E+18",Tue Apr 29 00:04:56 +0000 2025,0,@kompascom Ah yang bener ? https://t.co/ZrkqB83Ivw,"1,91701E+18",https://pbs.twimg.com/tweet_video_thumb/GpqT1vObYAAn6Ys.jpg,kompascom,in,,0,0,0,https://x.com/KMSG_RI/status/1917007153657004474,"1,51218E+18",KMSG_RI
"1,91651E+18",Tue Apr 29 00:02:50 +0000 2025,2,@MUSIKMENFESS Denny caknan guyon waton dkk sebagai orang luar jawa yang kuliah di jawa pertama kali denger kek hahhh ? apa sih kok kayak gini banyak yang suka 2-3 kali denger joget juga bangsat.,"1,91701E+18",,MUSIKMENFESS,in,,0,1,0,https://x.com/KMSG_RI/status/1917006624486789434,"1,51218E+18",KMSG_RI
